,,
State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
05,000,Ben Lomond town
05,000,Benton city
05,000,Bentonville city
05,000,Bergman town
05,000,Berryville city
05,000,Bethel Heights city
05,000,Bigelow town
05,000,Big Flat town
05,000,Biggers town
05,000,Birdsong town
05,000,Black Oak town
05,000,Black Rock city
05,000,Black Springs town
05,000,Blevins city
05,000,Blue Eye town
05,000,Blue Mountain town
05,000,Bluff City town
05,000,Blytheville city
05,000,Bodcaw town
05,000,Bonanza city
05,000,Bono city
05,000,Booneville city
05,000,Bradford city
05,000,Bradley city
05,000,Branch city
05,000,Briarcliff city
05,000,Brinkley city
05,000,Brookland city
05,000,Bryant city
05,000,Buckner city
05,000,Bull Shoals city
05,000,Burdette town
05,000,Cabot city
05,000,Caddo Valley town
05,000,Caldwell town
05,000,Cale town
05,000,Calico Rock city
05,000,Calion city
05,000,Camden city
05,000,Cammack Village city
05,000,Campbell Station city
05,000,Caraway city
05,000,Carlisle city
05,000,Carthage city
05,000,Casa town
05,000,Cash town
05,000,Caulksville town
05,000,Cave City city
05,000,Cave Springs city
05,000,Cedarville city
05,000,Centerton city
05,000,Central City town
05,000,Charleston city
05,000,Cherokee Village city
05,000,Cherry Valley city
05,000,Chester town
05,000,Chidester city
05,000,Clarendon city
05,000,Clarkedale city
05,000,Clarksville city
05,000,Clinton city
05,000,Coal Hill city
05,000,Colt city
05,000,Concord town
05,000,Conway city
05,000,Corinth town
05,000,Corning city
05,000,Cotter city
05,000,Cotton Plant city
05,000,Cove town
05,000,Coy town
05,000,Crawfordsville town
05,000,Crossett city
05,000,Cushman city
05,000,Daisy town
05,000,Damascus town
05,000,Danville city
05,000,Dardanelle city
05,000,Datto town
05,000,Decatur city
05,000,Delaplaine town
05,000,Delight city
05,000,Dell town
05,000,Denning town
05,000,De Queen city
05,000,Dermott city
05,000,Des Arc city
05,000,De Valls Bluff city
05,000,DeWitt city
05,000,Diamond City city
05,000,Diaz city
05,000,Dierks city
05,000,Donaldson town
05,000,Dover city
05,000,Dumas city
05,000,Dyer city
05,000,Dyess town
05,000,Earle city
05,000,East Camden town
05,000,Edmondson town
05,000,Egypt town
05,000,Elaine city
05,000,El Dorado city
05,000,Elkins city
05,000,Elm Springs city
